Number of edge,Cutting time [min],VB [mm],Actual tool life [min],Predicted tool life by ANN  [min],Difference of time by ANN [min]
1,0,0,17,18.544,1.544
1,1,0.182,16,14.587,—1.413
1,2,0.196,15,13.889,—1.111
1,3,0.21,14,13.101,—0.899
1,4,0.224,13,12.223,—0.777
1,6,0.252,11,10.214,—0.786
1,8,0.266,9,9.105,0.105
1,10,0.28,7,7.949,0.949
1,12,0.308,5,5.589,0.589
1,13,0.322,4,4.435,0.435
1,14,0.336,3,3.328,0.328
1,15,0.35,2,2.287,0.287
1,16,0.357,1,1.796,0.796
1,17,0.378,0,0.453,0.453
2,0,0,17,18.635,1.635
2,1,0.168,16,15.743,—0.257
2,2,0.196,15,14.609,—0.391
2,3,0.21,14,13.919,—0.081
2,4,0.224,13,13.14,0.14
2,6,0.266,11,10.277,—0.723
2,8,0.28,9,9.173,0.173
2,10,0.294,7,8.021,1.021
2,12,0.308,5,6.842,1.842
2,13,0.35,4,3.391,—0.609
2,14,0.364,3,2.344,—0.656
2,15,0.378,2,1.375,—0.625
2,16,0.385,1,0.922,—0.078
2,17,0.42,0,—1.001,—1.001
